,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
416,4211443,Centro,Embajadores,40.41338,-3.70617,Private room,65,2,12,0.15,3,0
417,4211443,Centro,Palacio,40.41312,-3.70759,Entire home/apt,115,2,177,2.17,3,0
418,4410687,Centro,Palacio,40.41707,-3.70881,Entire home/apt,62,3,32,0.85,1,329
419,2489796,Centro,Sol,40.41939,-3.70104,Private room,40,3,532,6.59,1,97
420,4424170,Ciudad Lineal,San Juan Bautista,40.44942,-3.65986,Entire home/apt,49,14,76,0.96,2,177
421,4424222,Moratalaz,Vinateros,40.40538,-3.65036,Entire home/apt,140,3,68,0.86,5,143
422,1331093,Centro,Palacio,40.41968,-3.71203,Private room,60,2,1,0.01,2,230
423,153391,Centro,Sol,40.42007,-3.70679,Entire home/apt,155,2,50,0.64,6,0
424,4433597,Centro,Embajadores,40.4091,-3.70828,Private room,30,1,16,0.2,1,0
425,4424070,Centro,Universidad,40.42296,-3.70442,Entire home/apt,65,4,26,0.54,1,0
426,3726732,Centro,Sol,40.41872,-3.70047,Entire home/apt,59,3,96,1.37,8,317
427,3726732,Centro,Sol,40.41849,-3.70122,Entire home/apt,107,3,43,0.75,8,317
428,3726732,Centro,Sol,40.41878,-3.70126,Entire home/apt,57,3,121,2.46,8,62
429,3726732,Centro,Sol,40.41882,-3.70107,Entire home/apt,67,3,138,2.14,8,318
430,3726732,Centro,Sol,40.4188,-3.70006,Entire home/apt,68,3,100,1.4,8,318
431,4247556,Centro,Universidad,40.42918,-3.70898,Entire home/apt,95,5,49,0.8,1,83
432,584351,Centro,Cortes,40.41403,-3.70121,Entire home/apt,70,3,76,0.94,3,329
433,4502639,San Blas - Canillejas,Rejas,40.44366,-3.57361,Private room,48,1,2,0.07,1,0
434,1714750,Centro,Cortes,40.41433,-3.70161,Entire home/apt,140,3,297,3.65,2,312
435,2456671,Centro,Palacio,40.40994,-3.71037,Entire home/apt,60,1,254,3.24,4,310
436,4522970,Arganzuela,Palos de Moguer,40.40306,-3.69702,Private room,40,3,125,1.84,1,99
437,3631892,Centro,Embajadores,40.40865,-3.70196,Entire home/apt,49,2,289,3.53,1,311
438,2668849,Centro,Embajadores,40.41103,-3.70248,Entire home/apt,31,2,39,1.33,1,0
439,2419618,Centro,Palacio,40.42153,-3.71095,Private room,40,1,29,0.64,10,359
440,4312150,Centro,Embajadores,40.40982,-3.70326,Entire home/apt,55,4,212,2.7,2,265
441,596469,Centro,Universidad,40.42826,-3.70392,Hotel room,80,5,31,0.53,30,358
442,4582755,Centro,Embajadores,40.40849,-3.6996,Entire home/apt,70,2,1,0.01,3,333
443,1221103,Chamberí,Almagro,40.43402,-3.69474,Entire home/apt,64,15,19,0.24,1,323
444,4504807,Centro,Universidad,40.42336,-3.70875,Entire home/apt,100,2,170,2.32,1,65
445,4603165,San Blas - Canillejas,Salvador,40.44618,-3.63502,Private room,30,2,73,1.09,1,306
446,4628173,Chamartín,Castilla,40.47092,-3.68637,Entire home/apt,70,1,1,0.01,3,336
447,805726,Centro,Cortes,40.41502,-3.69943,Private room,25,2,68,0.9,5,140
448,3917443,Arganzuela,Acacias,40.40226,-3.70319,Entire home/apt,75,3,123,1.56,1,49
449,2646146,Salamanca,Lista,40.42905,-3.66996,Private room,28,1,21,0.33,7,351
450,2646146,Salamanca,Lista,40.43075,-3.6718,Private room,32,1,16,0.26,7,351
451,4674072,Arganzuela,Palos de Moguer,40.4014,-3.69495,Private room,24,1,537,6.98,1,154
452,4677030,Salamanca,Goya,40.42444,-3.67326,Entire home/apt,140,3,97,1.27,13,33
453,4677458,Salamanca,Goya,40.42611,-3.67831,Entire home/apt,42,60,2,0.03,1,0
454,4684397,Centro,Palacio,40.42128,-3.70825,Private room,40,1,5,0.06,1,228
